GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimarket,com.minimarket.mapper,EntityDtoMapper,3,108,3,3,0,26,3,4,0,4
minimarket,com.minimarket,MinimarketApplication,5,3,0,0,2,1,1,1,1,1
minimarket,com.minimarket.controller,CarritoController,12,116,1,3,1,26,2,10,1,9
minimarket,com.minimarket.controller,DetalleVentaController,0,61,0,6,0,15,0,9,0,6
minimarket,com.minimarket.controller,UsuarioController,0,65,0,4,0,16,0,9,0,7
minimarket,com.minimarket.controller,ProductoController,6,95,1,3,1,22,1,9,0,8
minimarket,com.minimarket.controller,HolaMundoController,2,3,0,0,1,1,1,1,1,1
minimarket,com.minimarket.controller,VentaController,0,25,0,2,0,5,0,5,0,4
minimarket,com.minimarket.controller,CategoriaController,0,61,0,6,0,15,0,9,0,6
minimarket,com.minimarket.controller,InventarioController,0,61,0,6,0,15,0,9,0,6
minimarket,com.minimarket.entity,Producto,0,72,0,10,0,23,0,18,0,13
minimarket,com.minimarket.entity,Venta,2,74,1,9,1,24,1,17,0,13
minimarket,com.minimarket.entity,Usuario,0,93,0,10,0,32,0,24,0,19
minimarket,com.minimarket.entity,Categoria,2,56,1,9,1,16,1,13,0,9
minimarket,com.minimarket.entity,Inventario,2,70,1,9,1,22,1,17,0,13
minimarket,com.minimarket.entity,Rol,12,64,0,10,6,20,3,13,3,8
minimarket,com.minimarket.entity,DetalleVenta,2,70,1,9,1,22,1,17,0,13
minimarket,com.minimarket.entity,Carrito,2,63,1,9,1,19,1,15,0,11
minimarket,com.minimarket.config,OpenApiConfig,40,0,0,0,12,0,2,0,2,0
minimarket,com.minimarket.exception,ApiExceptionHandler,15,72,0,2,2,15,2,5,2,4
minimarket,com.minimarket.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
minimarket,com.minimarket.security.service,CustomUserDetailsService,0,23,0,0,0,4,0,3,0,3
minimarket,com.minimarket.service.impl,VentaServiceImpl,18,240,15,45,3,47,17,30,2,15
minimarket,com.minimarket.service.impl,CarritoServiceImpl,145,0,28,0,27,0,27,0,13,0
minimarket,com.minimarket.service.impl,UsuarioServiceImpl,6,113,7,13,1,22,8,15,1,12
minimarket,com.minimarket.service.impl,DetalleVentaServiceImpl,28,3,0,0,6,1,5,1,5,1
minimarket,com.minimarket.service.impl,CategoriaServiceImpl,23,3,0,0,5,1,4,1,4,1
minimarket,com.minimarket.service.impl,ProductoServiceImpl,36,0,0,0,8,0,7,0,7,0
minimarket,com.minimarket.service.impl,RolServiceImpl,5,3,0,0,1,1,1,1,1,1
minimarket,com.minimarket.service.impl,InventarioServiceImpl,0,31,0,0,0,7,0,6,0,6
minimarket,com.minimarket.dto,DetalleVentaDTO,38,0,0,0,16,0,11,0,11,0
minimarket,com.minimarket.dto,CarritoDTO,0,31,0,0,0,13,0,9,0,9
minimarket,com.minimarket.dto,RolDTO,17,0,0,0,7,0,5,0,5,0
minimarket,com.minimarket.dto,ErrorResponseDTO,0,45,0,0,0,19,0,13,0,13
minimarket,com.minimarket.dto,UsuarioDTO,59,0,0,0,25,0,17,0,17,0
minimarket,com.minimarket.dto,VentaDTO,38,0,0,0,16,0,11,0,11,0
minimarket,com.minimarket.dto,InventarioDTO,38,0,0,0,16,0,11,0,11,0
minimarket,com.minimarket.dto,ProductoDTO,0,38,0,0,0,16,0,11,0,11
minimarket,com.minimarket.dto,CategoriaDTO,17,0,0,0,7,0,5,0,5,0
minimarket,com.minimarket.security.util,JwtUtil,3,0,0,0,1,0,1,0,1,0
minimarket,com.minimarket.security.model,LoginRequest,3,0,0,0,1,0,1,0,1,0
minimarket,com.minimarket.security.model,CustomUserDetails,8,30,0,0,4,8,4,5,4,5
minimarket,com.minimarket.dto.page,ProductoPageResponse,59,0,0,0,25,0,17,0,17,0
minimarket,com.minimarket.dto.page,CarritoPageResponse,59,0,0,0,25,0,17,0,17,0
minimarket,com.minimarket.util,MinimarketConstants,0,12,0,0,0,2,0,1,0,1
minimarket,com.minimarket.security.config,SecurityConfig,0,218,0,0,0,25,0,8,0,8
